"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Superior",183.616269300885,183.574205765487,183.566520985911,183.605118948278,183.7308573578,183.826200844381,183.847154312167,183.84956283895,183.83339804198,183.852342348638,183.778949117656,183.717612738781
"Michigan",176.498110714811,176.500030094943,176.566420341143,176.68737507508,176.809151662471,176.881972331366,176.990939044909,177.001824351429,176.936193901433,176.877809490481,176.849810037201,176.796145849218
"Huron",176.475309801984,176.483620319535,176.541261046962,176.669116085636,176.781767828729,176.872691526689,176.982691526689,176.994341827114,176.916561096805,176.858284033112,176.834838160498,176.780828523845
"Erie",174.626814930032,174.604901205896,174.650176042866,174.828877075964,175.022272697512,175.124658655364,175.115601797146,175.008366221387,174.843853682,174.713147831649,174.64955809544,174.659538887972
"Ontario",75.0038849971418,75.0723467828127,75.1209629241226,75.2684568595951,75.3334871604309,75.2818169408877,75.1739129986529,75.0437401045594,74.8419671157631,74.6959327096807,74.5971065065077,74.6188927049917
