"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Superior",183.662819252714,183.614941773897,183.658483344644,183.682892439227,183.835236769767,183.847496934094,183.866737963504,183.866744310694,183.889865292401,183.916725534493,183.840761012312,183.770839186658
"Michigan",176.498108480785,176.500031156958,176.566361884789,176.687317182599,176.809103641875,176.881849078073,176.990865104066,177.001767747743,176.936182324987,176.877792476393,176.849812014749,176.796150639108
"Huron",176.498108480785,176.500031156958,176.566361884789,176.687317182599,176.809103641875,176.881849078073,176.990865104066,177.001767747743,176.936182324987,176.877792476393,176.849812014749,176.796150639108
"Erie",174.660190194838,174.637459119438,174.708238769882,174.876907724662,175.08641896536,175.150303779095,175.136173695609,175.025033737085,174.878933220171,174.754838494515,174.688563652521,174.692992142853
"Ontario",75.0927251834214,75.1581529257627,75.2186374067526,75.3584089482928,75.4056475222868,75.3364212309418,75.2224509020624,75.087670316017,74.8881201269512,74.7423275102091,74.6388708475219,74.6637085908785
