"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Superior",183.616255222626,183.574196166673,183.56649463109,183.605097613422,183.730900027509,183.826206980502,183.847160448287,183.849567589494,183.833454296251,183.852391390823,183.779012584013,183.717637055765
"Michigan",176.498064871512,176.499998111247,176.566393172578,176.687379603174,176.809218074519,176.88205214058,176.99101731933,177.001882673547,176.936253054578,176.877850640495,176.84987947785,176.796161841066
"Huron",176.475286347273,176.483604327686,176.541229350302,176.669090426435,176.781819147129,176.872786683829,176.982786683829,176.994415497158,176.916661399964,176.858371476892,176.834951323037,176.780869036528
"Erie",174.626751848275,174.604858195606,174.650125632154,174.828836267292,175.022354314851,175.124812745528,175.115755887309,175.008485516997,174.84397526831,174.713253829969,174.649695269737,174.659647847365
"Ontario",74.9841550492217,75.0539413016648,75.1209629241163,75.2684568595895,75.333487160427,75.2679603163182,75.1656354851139,75.0350902548325,74.8367367026559,74.6954491611031,74.5984196529349,74.6220882711989
